Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Mechanics,Domains
Azul,2017,2,4,45,8,53615,7.82838,1.7663,79526,"Card Drafting, End Game Bonuses, Pattern Building, Set Collection, Tile Placement, Turn Order: Claim Action",Abstract Games
Azul,2017,2,4,45,8,53615,7.82838,1.7663,79526,"Card Drafting, End Game Bonuses, Pattern Building, Set Collection, Tile Placement, Turn Order: Claim Action", Family Games
Marvel Champions: The Card Game,2019,1,4,90,14,9616,8.2006,2.796,16713,"Cooperative Game, Deck Construction, Hand Management, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers, Variable Set-up",Customizable Games
Eclipse,2011,2,6,180,14,26165,7.89247,3.698,26710,"Area Majority / Influence, Dice Rolling, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers",Strategy Games
Clank! Legacy: Acquisitions Incorporated,2019,2,4,120,13,3295,8.78927,2.7037,7209,"Card Drafting, Deck Bag and Pool Building, Legacy Game, Once-Per-Game Abilities, Point to Point Movement, Push Your Luck",Thematic Games
Android: Netrunner,2012,2,2,45,14,26748,7.87373,3.3832,41315,"Action Points, Deck Construction, Hand Management, Secret Unit Deployment, Take That, Variable Player Powers",Customizable Games
Robinson Crusoe: Adventures on the Cursed Island,2012,1,4,120,14,34179,7.83923,3.7827,52934,"Action Queue, Cooperative Game, Dice Rolling, Hexagon Grid, Narrative Choice / Paragraph, Solo / Solitaire Game, Tile Placement, Variable Player Powers, Worker Placement",Thematic Games
The Voyages of Marco Polo,2015,2,4,100,12,20240,7.86698,3.1876,22601,"Contracts, Dice Rolling, Income, Point to Point Movement, Resource to Move, Set Collection, Turn Order: Claim Action, Variable Player Powers, Variable Set-up, Worker Placement with Dice Workers",Strategy Games
The Gallerist,2015,1,4,150,13,9705,8.04333,4.281,13057,"Commodity Speculation, Investment, Set Collection, Solo / Solitaire Game, Worker Placement",Strategy Games
Barrage,2019,1,4,120,14,6500,8.21568,4.0191,8963,"Action Drafting, Contracts, End Game Bonuses, Income, Network and Route Building, Solo / Solitaire Game, Turn Order: Stat-Based, Variable Player Powers, Variable Set-up, Worker Placement",Strategy Games
Race for the Galaxy,2007,2,4,60,12,46393,7.76076,2.9828,56264,"Follow, Hand Management, Set Collection, Simultaneous Action Selection, Turn Order: Role Order, Variable Phase Order, Variable Player Powers",Strategy Games
Fields of Arle,2014,1,2,120,13,8111,8.09393,3.8788,12561,"Automatic Resource Growth, Highest-Lowest Scoring, Income, Solo / Solitaire Game, Worker Placement",Strategy Games
7 Wonders,2010,2,7,30,10,84371,7.75152,2.329,112410,"Card Drafting, Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers",Family Games
7 Wonders,2010,2,7,30,10,84371,7.75152,2.329,112410,"Card Drafting, Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers", Strategy Games
Teotihuacan: City of Gods,2018,1,4,120,14,12970,7.95353,3.7658,18082,"Area Movement, Rondel, Set Collection, Solo / Solitaire Game, Tile Placement, Track Movement, Variable Set-up, Worker Placement, Worker Placement with Dice Workers",Strategy Games
Clank!: A Deck-Building Adventure,2016,2,4,60,12,27893,7.81343,2.2115,36265,"Card Drafting, Deck Bag and Pool Building, Drafting, End Game Bonuses, Pick-up and Deliver, Player Elimination, Point to Point Movement, Push Your Luck, Variable Set-up",Family Games
Clank!: A Deck-Building Adventure,2016,2,4,60,12,27893,7.81343,2.2115,36265,"Card Drafting, Deck Bag and Pool Building, Drafting, End Game Bonuses, Pick-up and Deliver, Player Elimination, Point to Point Movement, Push Your Luck, Variable Set-up", Strategy Games
The Quacks of Quedlinburg,2018,2,4,45,10,22327,7.82396,1.9426,34053,"Catch the Leader, Deck Bag and Pool Building, Dice Rolling, Push Your Luck, Variable Set-up",Family Games
Crokinole,1876,2,4,30,8,12197,7.9068,1.2534,10561,"Flicking, Team-Based Game",Family Games
Five Tribes,2014,2,4,80,13,32265,7.7807,2.8589,41676,"Auction/Bidding, Constrained Bidding, End Game Bonuses, Hidden Victory Points, Mancala, Modular Board, Set Collection, Square Grid, Turn Order: Auction, Variable Player Powers, Variable Set-up, Victory Points as a Resource",Strategy Games
Dominant Species,2010,2,6,240,14,18018,7.84578,4.036,19494,"Area Majority / Influence, Card Drafting, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Take That, Tile Placement, Variable Player Powers, Worker Placement",Strategy Games
On Mars,2020,1,4,150,14,5781,8.29831,4.6337,10719,"Area Majority / Influence, Contracts, Delayed Purchase, Drafting, End Game Bonuses, Hand Management, Hexagon Grid, Income, Movement Points, Moving Multiple Units, Point to Point Movement, Set Collection, Solo / Solitaire Game, Tech Trees / Tech Tracks, Tile Placement, Variable Phase Order, Worker Placement",Strategy Games
Lisboa,2017,1,4,120,12,6693,8.18437,4.5667,10212,"Area Majority / Influence, Card Drafting, Hand Management, Solo / Solitaire Game, Tile Placement",Strategy Games
Aeon's End,2016,1,4,60,14,10899,8.01914,2.7582,16345,"Card Drafting, Cooperative Game, Deck Bag and Pool Building, Delayed Purchase, Hand Management, Solo / Solitaire Game, Variable Phase Order, Variable Player Powers, Variable Set-up",Strategy Games
Lords of Waterdeep,2012,2,5,120,12,45929,7.7529,2.462,56283,"Card Drafting, Contracts, Hidden Roles, Increase Value of Unchosen Resources, Ownership, Set Collection, Take That, Turn Order: Claim Action, Worker Placement",Strategy Games
Paladins of the West Kingdom,2019,1,4,120,12,8248,8.07009,3.6651,15192,"Card Drafting, Market, Solo / Solitaire Game, Worker Placement, Worker Placement, Different Worker Types",Strategy Games
Keyflower,2012,2,6,120,12,19003,7.80111,3.345,22067,"Auction/Bidding, Auction: Fixed Placement, Constrained Bidding, End Game Bonuses, Hexagon Grid, Memory, Modular Board, Multiple-Lot Auction, Network and Route Building, Ownership, Set Collection, Tile Placement, Turn Order: Auction, Worker Placement, Worker Placement, Different Worker Types",Strategy Games
Agricola (Revised Edition),2016,1,4,120,12,9491,8.03591,3.5015,13144,"Card Drafting, Enclosure, Hand Management, Worker Placement, Advantage Token, Automatic Resource Growth, Increase Value of Unchosen Resources, Solo / Solitaire Game, Team-Based Game, Turn Order: Claim Action, Variable Player Powers",Strategy Games
Pax Pamir: Second Edition,2019,1,5,120,13,4373,8.4334,3.7481,8538,"Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Increase Value of Unchosen Resources, Score-and-Reset Game, Simulation, Solo / Solitaire Game",Strategy Games
Tainted Grail: The Fall of Avalon,2019,1,4,120,14,6134,8.41042,3.2818,12918,"Area Movement, Campaign / Battle Card Driven, Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Hand Management, Map Addition, Modular Board, Narrative Choice / Paragraph, Push Your Luck, Role Playing, Solo / Solitaire Game, Storytelling, Variable Player Powers",Thematic Games
Caylus,2005,2,5,150,12,26796,7.77011,3.8034,26714,"Ownership, Turn Order: Claim Action, Turn Order: Pass Order, Variable Set-up, Worker Placement",Strategy Games
Architects of the West Kingdom,2018,1,5,80,12,16886,7.83139,2.7715,24145,"Drafting, Solo / Solitaire Game, Variable Player Powers, Worker Placement",Strategy Games
El Grande,1995,2,5,120,12,23545,7.75385,3.053,22629,"Action Drafting, Area Majority / Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory, Simultaneous Action Selection, Turn Order: Progressive, Turn Order: Stat-Based",Strategy Games
Twilight Imperium: Third Edition,2005,3,6,240,14,18302,7.83602,4.2523,20048,"Action Points, Area-Impulse, Dice Rolling, Follow, Hexagon Grid, Increase Value of Unchosen Resources, Modular Board, Player Elimination, Tile Placement, Trading, Variable Phase Order, Variable Player Powers, Voting",Strategy Games
Twilight Imperium: Third Edition,2005,3,6,240,14,18302,7.83602,4.2523,20048,"Action Points, Area-Impulse, Dice Rolling, Follow, Hexagon Grid, Increase Value of Unchosen Resources, Modular Board, Player Elimination, Tile Placement, Trading, Variable Phase Order, Variable Player Powers, Voting", Thematic Games
Battlestar Galactica: The Board Game,2008,3,6,180,14,32889,7.74213,3.2436,35758,"Area Movement, Dice Rolling, Hand Management, Hidden Roles, Once-Per-Game Abilities, Role Playing, Semi-Cooperative Game, Team-Based Game, Traitor Game, Variable Player Powers, Variable Set-up, Voting",Thematic Games
Eldritch Horror,2013,1,8,240,14,29347,7.80542,3.3196,43238,"Action Points, Cooperative Game, Dice Rolling, Point to Point Movement, Role Playing, Solo / Solitaire Game, Stat Check Resolution, Variable Player Powers",Thematic Games
Troyes,2010,2,4,90,12,18930,7.76181,3.4571,21299,"Area Majority / Influence, Dice Rolling, End Game Bonuses, Hidden Victory Points, Lose a Turn, Ownership, Set Collection, Solo / Solitaire Game, Turn Order: Progressive, Worker Placement, Worker Placement with Dice Workers, Worker Placement, Different Worker Types",Strategy Games
Rising Sun,2018,3,5,120,14,15767,7.87643,3.2752,20763,"Action Drafting, Alliances, Area Majority / Influence, Area Movement, Auction: Sealed Bid, Betting and Bluffing, Drafting, End Game Bonuses, Follow, Force Commitment, Negotiation, Set Collection, Simultaneous Action Selection, Take That, Variable Phase Order, Variable Player Powers, Variable Set-up",Strategy Games
Dominion: Intrigue,2009,2,4,30,13,30118,7.71919,2.4222,43570,"Deck Bag and Pool Building, Hand Management",Strategy Games
Mombasa,2015,2,4,150,12,10954,7.88284,3.8984,13057,"Action Queue, Area Majority / Influence, Card Drafting, Deck Bag and Pool Building, Hand Management, Investment, Simultaneous Action Selection, Stock Holding, Variable Player Powers, Worker Placement",Strategy Games
Grand Austria Hotel,2015,2,4,120,12,12604,7.84537,3.2176,15014,"Action Drafting, Contracts, Dice Rolling, End Game Bonuses, Hand Management, Once-Per-Game Abilities, Set Collection, Variable Player Powers, Variable Set-up",Strategy Games
The Lord of the Rings: Journeys in Middle-Earth,2019,1,5,120,14,8822,8.08168,2.5666,15716,"Cooperative Game, Deck Bag and Pool Building, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers",Thematic Games
Patchwork,2014,2,2,30,8,46536,7.6557,1.6367,68860,"Card Drafting, Grid Coverage, Income, Square Grid, Tile Placement, Time Track, Victory Points as a Resource",Abstract Games
Patchwork,2014,2,2,30,8,46536,7.6557,1.6367,68860,"Card Drafting, Grid Coverage, Income, Square Grid, Tile Placement, Time Track, Victory Points as a Resource", Family Games
Raiders of the North Sea,2015,2,4,80,12,15990,7.78792,2.5346,21145,"Dice Rolling, Hand Management, Set Collection, Worker Placement, Worker Placement, Different Worker Types",Strategy Games
Russian Railroads,2013,2,4,120,12,14845,7.77385,3.4108,14737,"End Game Bonuses, Worker Placement",Strategy Games
Tigris & Euphrates,1997,2,4,90,12,25321,7.69674,3.5102,28348,"Area Majority / Influence, Area Movement, Connections, Hand Management, Highest-Lowest Scoring, Income, Pieces as Map, Set Collection, Square Grid, Tile Placement",Strategy Games
Codenames,2015,2,8,15,14,67688,7.6181,1.2885,107682,"Communication Limits, Memory, Push Your Luck, Team-Based Game",Party Games
Roll for the Galaxy,2014,2,5,45,13,26421,7.67197,2.7716,32192,"Action Retrieval, Contracts, Dice Rolling, Follow, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers",Strategy Games
Trajan,2011,2,4,120,12,14728,7.76238,3.6532,17181,"Area Movement, Card Drafting, Hand Management, Mancala, Rondel, Set Collection",Strategy Games
